一	80_一_一	일	한 일			一	00	01	80			
七	80_一_七	칠	일곱 칠			一	01	02	80			
三	80_一_三	삼	석 삼			一	02	03	80			
中	80_丨_中	중	가운데 중			丨	03	04	80			
九	80_乙_九	구	아홉 구			乙	01	02	80			
二	80_二_二	이	두 이:			二	00	02	80	:		
五	80_二_五	오	다섯 오:			二	02	04	80	:		
人	80_人_人	인	사람 인			人	00	02	80			
兄	80_儿_兄	형	형 형			儿	03	05	80			
先	80_儿_先	선	먼저 선			儿	04	06	80			
八	80_八_八	팔	여덟 팔			八	00	02	80			
六	80_八_六	륙	여섯 륙			八	02	04	80			
北	80_匕_北	북	북녘 북 | 달아날 배:			匕	03	05	80	(:)		
十	80_十_十	십	열 십			十	00	02	80			
南	80_十_南	남	남녘 남			十	07	09	80			
四	80_囗_四	사	넉 사:			囗	02	05	80	:		
國	80_囗_國	국	나라 국			囗	08	11	80			
土	80_土_土	토	흙 토			土	00	03	80			
外	80_夕_外	외	바깥 외:			夕	02	05	80	:		
大	80_大_大	대	큰 대(:)			大	00	03	80	(:)		
女	80_女_女	녀	계집 녀			女	00	03	80			
學	80_子_學	학	배울 학			子	13	16	80			
室	80_宀_室	실	집 실			宀	06	09	80			
寸	80_寸_寸	촌	마디 촌:			寸	00	03	80	:		
小	80_小_小	소	작을 소:			小	00	03	80	:		
山	80_山_山	산	메 산			山	00	03	80			
年	80_干_年	년	해 년			干	03	06	80			
弟	80_弓_弟	제	아우 제:			弓	04	07	80	:		
敎	80_攴_敎	교	가르칠 교:			攴	07	11	80	:		
日	80_日_日	일	날 일			日	00	04	80			
月	80_月_月	월	달 월			月	00	04	80			
木	80_木_木	목	나무 목			木	00	04	80	(:)		
東	80_木_東	동	동녘 동			木	04	08	80			
校	80_木_校	교	학교 교:			木	06	10	80	:		
母	80_毋_母	모	어미 모:			毋	01	05	80	:		
民	80_氏_民	민	백성 민			氏	01	05	80			
水	80_水_水	수	물 수			水	00	04	80			
火	80_火_火	화	불 화(:)			火	00	04	80	(:)		
父	80_父_父	부	아비 부			父	00	04	80			
王	80_玉_王	왕	임금 왕			玉	00	04	80			
生	80_生_生	생	날 생			生	00	05	80			
白	80_白_白	백	흰 백			白	00	05	80			
萬	80_艸_萬	만	일만 만:			艸	09	13	80	:		
西	80_襾_西	서	서녘 서			襾	00	06	80			
軍	80_車_軍	군	군사 군			車	02	09	80			
金	80_金_金	금	쇠 금 | 성(姓) 김			金	00	08	80			
長	80_長_長	장	긴 장(:)			長	00	08	80	(:)		
門	80_門_門	문	문 문			門	00	08	80			
靑	80_靑_靑	청	푸를 청			靑	00	08	80			
韓	80_韋_韓	한	한국/나라 한(:)			韋	08	17	80	(:)		
上	72_一_上	상	윗  상:			一	02	03	72	:		
下	72_一_下	하	아래 하:			一	02	03	72	:		
不	72_一_不	불	아닐 불			一	03	04	72			
世	72_一_世	세	인간 세:			一	04	05	72	:		
事	72_亅_事	사	일 사:			亅	07	08	72	:		
內	72_入_內	내	안 내:			入	02	04	72	:		
全	72_入_全	전	온전 전			入	04	06	72			
前	72_刀_前	전	앞 전			刀	07	09	72			
力	72_力_力	력	힘 력			力	00	02	72			
動	72_力_動	동	움직일 동:			力	09	11	72	:		
午	72_十_午	오	낮 오:			十	02	04	72	:		
右	72_口_右	우	오를/오른(쪽) 우:			口	02	05	72	:		
名	72_口_名	명	이름 명			口	03	06	72			
場	72_土_場	장	마당 장			土	09	12	72			
姓	72_女_姓	성	성 성:			女	05	08	72	:		
子	72_子_子	자	아들 자			子	00	03	72			
孝	72_子_孝	효	효도 효:			子	04	07	72	:		
安	72_宀_安	안	편안 안			宀	03	06	72			
家	72_宀_家	가	집 가			宀	07	10	72			
工	72_工_工	공	장인 공			工	00	03	72			
左	72_工_左	좌	왼 좌:			工	02	05	72	:		
市	72_巾_市	시	저자 시:			巾	02	05	72	:		
平	72_干_平	평	평평할 평			干	02	05	72			
後	72_彳_後	후	뒤 후:			彳	06	09	72	:		
手	72_手_手	수	손 수(:)			手	00	04	72	(:)		
方	72_方_方	방	모[棱] 방			方	00	04	72			
時	72_日_時	시	때 시			日	06	10	72			
正	72_止_正	정	바를 정(:)			止	01	05	72	(:)		
每	72_毋_每	매	매양 매(:)			毋	03	07	72	(:)		
氣	72_气_氣	기	기운 기			气	06	10	72			
江	72_水_江	강	강 강			水	03	06	72			
活	72_水_活	활	살 활			水	06	09	72			
海	72_水_海	해	바다 해:			水	07	10	72	:		
漢	72_水_漢	한	한수/한나라 한:			水	11	14	72	:		
物	72_牛_物	물	물건 물			牛	04	08	72			
男	72_田_男	남	사내 남			田	02	07	72			
直	72_目_直	직	곧을 직			目	03	08	72			
空	72_穴_空	공	빌 공			穴	03	08	72			
立	72_立_立	립	설 립			立	00	05	72			
答	72_竹_答	답	대답 답			竹	06	12	72			
自	72_自_自	자	스스로 자			自	00	06	72			
記	72_言_記	기	기록할 기			言	03	10	72			
話	72_言_話	화	말씀 화			言	06	13	72			
足	72_足_足	족	발 족			足	00	07	72			
車	72_車_車	거	수레 거 | 수레 차			車	00	07	72			
農	72_辰_農	농	농사 농			辰	06	13	72			
道	72_辵_道	도	길 도:			辵	09	13	72	:		
間	72_門_間	간	사이 간(:)			門	04	12	72	(:)		
電	72_雨_電	전	번개 전:			雨	05	13	72	:		
食	72_食_食	식	밥/먹을 식			食	00	09	72			
主	70_丶_主	주	임금/주인 주			丶	04	05	70			
休	70_人_休	휴	쉴 휴			人	04	06	70			
住	70_人_住	주	살 주:			人	05	07	70	:		
來	70_人_來	래	올 래(:)			人	06	08	70	(:)		
便	70_人_便	편	편할 편(:) | 똥오줌 변			人	07	09	70	(:)		
入	70_入_入	입	들 입			入	00	02	70			
冬	70_冫_冬	동	겨울 동(:)			冫	03	05	70	(:)		
出	70_凵_出	출	날[生] 출			凵	03	05	70			
千	70_十_千	천	일천 천			十	01	03	70			
口	70_口_口	구	입 구(:)			口	00	03	70	(:)		
同	70_口_同	동	한가지 동			口	03	06	70			
命	70_口_命	명	목숨 명:			口	05	08	70	:		
問	70_口_問	문	물을 문:			口	08	11	70	:		
地	70_土_地	지	따 지			土	03	06	70			
夏	70_夊_夏	하	여름 하:			夊	07	10	70	:		
夕	70_夕_夕	석	저녁 석			夕	00	03	70			
天	70_大_天	천	하늘 천			大	01	04	70			
夫	70_大_夫	부	지아비 부			大	01	04	70			
字	70_子_字	자	글자 자			子	03	06	70			
少	70_小_少	소	적을 소:			小	01	04	70	:		
川	70_巛_川	천	내 천			巛	00	03	70			
心	70_心_心	심	마음 심			心	00	04	70			
所	70_戶_所	소	바 소:			戶	04	08	70	:		
數	70_攴_數	수	셈 수:			攴	11	15	70	(:)		
文	70_文_文	문	글월 문			文	00	04	70			
旗	70_方_旗	기	기 기			方	10	14	70			
春	70_日_春	춘	봄 춘			日	05	09	70			
有	70_月_有	유	있을 유:			月	02	06	70	:		
村	70_木_村	촌	마을 촌:			木	03	07	70	:		
林	70_木_林	림	수풀 림			木	04	08	70			
植	70_木_植	식	심을 식			木	08	12	70			
歌	70_欠_歌	가	노래 가			欠	10	14	70			
洞	70_水_洞	동	골 동: | 밝을 통:			水	06	09	70	:		
然	70_火_然	연	그럴 연			火	08	12	70			
登	70_癶_登	등	오를 등			癶	07	12	70			
百	70_白_百	백	일백 백			白	01	06	70			
祖	70_示_祖	조	할아비 조			示	05	10	70			
秋	70_禾_秋	추	가을 추			禾	04	09	70			
算	70_竹_算	산	셈 산:			竹	08	14	70	:		
紙	70_糸_紙	지	종이 지			糸	04	10	70			
老	70_老_老	로	늙을 로:			老	00	06	70	:		
育	70_肉_育	육	기를 육			肉	04	08	70			
色	70_色_色	색	빛 색			色	00	06	70			
花	70_艸_花	화	꽃 화			艸	04	08	70			
草	70_艸_草	초	풀 초			艸	06	10	70			
語	70_言_語	어	말씀 어:			言	07	14	70	:		
邑	70_邑_邑	읍	고을 읍			邑	00	07	70			
里	70_里_里	리	마을 리:			里	00	07	70	:		
重	70_里_重	중	무거울 중:			里	02	09	70	:		
面	70_面_面	면	낯 면:			面	00	09	70	:		
今	62_人_今	금	이제 금			人	02	04	62			
代	62_人_代	대	대신할 대:			人	03	05	62	:		
作	62_人_作	작	지을 작			人	05	07	62			
信	62_人_信	신	믿을 신:			人	07	09	62	:		
光	62_儿_光	광	빛 광			儿	04	06	62			
公	62_八_公	공	공평할 공			八	02	04	62			
共	62_八_共	공	한가지 공:			八	04	06	62	:		
分	62_刀_分	분	나눌 분(:)			刀	02	04	62	(:)		
利	62_刀_利	리	이할 리:			刀	05	07	62	:		
功	62_力_功	공	공[勳] 공			力	03	05	62			
勇	62_力_勇	용	날랠 용:			力	07	09	62	:		
半	62_十_半	반	반(半) 반:			十	03	05	62	:		
反	62_又_反	반	돌이킬/돌아올 반:			又	02	04	62	:		
各	62_口_各	각	각각 각			口	03	06	62			
和	62_口_和	화	화할 화			口	05	08	62			
圖	62_囗_圖	도	그림 도			囗	11	14	62			
堂	62_土_堂	당	집 당			土	08	11	62			
始	62_女_始	시	비로소 시:			女	05	08	62	:		
對	62_寸_對	대	대할 대:			寸	11	14	62	:		
幸	62_干_幸	행	다행 행:			干	05	08	62	:		
庭	62_广_庭	정	뜰 정			广	07	10	62			
弱	62_弓_弱	약	약할 약			弓	07	10	62			
形	62_彡_形	형	모양 형			彡	04	07	62			
急	62_心_急	급	급할 급			心	05	09	62			
意	62_心_意	의	뜻 의:			心	09	13	62	:		
成	62_戈_成	성	이룰 성			戈	03	07	62			
戰	62_戈_戰	전	싸움 전:			戈	12	16	62	:		
才	62_手_才	재	재주 재			手	00	03	62			
放	62_攴_放	방	놓을 방(:)			攴	04	08	62	(:)		
新	62_斤_新	신	새 신			斤	09	13	62			
明	62_日_明	명	밝을 명			日	04	08	62			
昨	62_日_昨	작	어제 작			日	05	09	62			
書	62_曰_書	서	글 서			曰	06	10	62			
會	62_曰_會	회	모일 회:			曰	09	13	62	:		
果	62_木_果	과	실과 과:			木	04	08	62	:		
業	62_木_業	업	업 업			木	09	13	62			
樂	62_木_樂	락	즐길 락 | 노래 악 | 좋아할 요			木	11	15	62			
注	62_水_注	주	부을 주:			水	05	08	62	:		
消	62_水_消	소	사라질 소			水	07	10	62			
淸	62_水_淸	청	맑을 청			水	08	11	62			
班	62_玉_班	반	나눌 반			玉	06	10	62			
現	62_玉_現	현	나타날 현:			玉	07	11	62	:		
球	62_玉_球	구	공 구			玉	07	11	62			
理	62_玉_理	리	다스릴 리:			玉	07	11	62	:		
用	62_用_用	용	쓸 용:			用	00	05	62	:		
界	62_田_界	계	지경 계:			田	04	09	62	:		
發	62_癶_發	발	필 발			癶	07	12	62			
省	62_目_省	성	살필 성 | 덜 생			目	04	09	62			
短	62_矢_短	단	짧을 단(:)			矢	07	12	62	(:)		
社	62_示_社	사	모일 사			示	03	08	62			
神	62_示_神	신	귀신 신			示	05	10	62			
科	62_禾_科	과	과목 과			禾	04	09	62			
窓	62_穴_窓	창	창 창			穴	06	11	62			
童	62_立_童	동	아이 동(:)			立	07	12	62	(:)		
第	62_竹_第	제	차례 제:			竹	05	11	62	:		
等	62_竹_等	등	무리 등:			竹	06	12	62	:		
線	62_糸_線	선	줄 선			糸	09	15	62			
聞	62_耳_聞	문	들을 문(:)			耳	08	14	62	(:)		
藥	62_艸_藥	약	약 약			艸	15	19	62			
術	62_行_術	술	재주 술			行	05	11	62			
表	62_衣_表	표	겉 표			衣	02	08	62			
角	62_角_角	각	뿔 각			角	00	07	62			
計	62_言_計	계	셀 계:			言	02	09	62	:		
讀	62_言_讀	독	읽을 독 | 구절 두			言	15	22	62			
身	62_身_身	신	몸 신			身	00	07	62			
運	62_辵_運	운	옮길 운:			辵	09	13	62	:		
部	62_邑_部	부	떼 부			邑	08	11	62			
集	62_隹_集	집	모을 집			隹	04	12	62			
雪	62_雨_雪	설	눈 설			雨	03	11	62			
音	62_音_音	음	소리 음			音	00	09	62			
題	62_頁_題	제	제목 제			頁	09	18	62			
風	62_風_風	풍	바람 풍			風	00	09	62			
飮	62_食_飮	음	마실 음(:)			食	04	13	62	(:)		
體	62_骨_體	체	몸 체			骨	13	23	62			
高	62_高_高	고	높을 고			高	00	10	62			
交	60_亠_交	교	사귈 교			亠	04	06	60			
京	60_亠_京	경	서울 경			亠	06	08	60			
使	60_人_使	사	하여금/부릴 사:			人	06	08	60	:		
例	60_人_例	례	법식 례:			人	06	08	60	:		
別	60_刀_別	별	다를/나눌 별			刀	05	07	60			
勝	60_力_勝	승	이길 승			力	10	12	60			
區	60_匸_區	구	구분할/지경 구			匸	09	11	60			
古	60_口_古	고	예 고:			口	02	05	60	:		
合	60_口_合	합	합할 합			口	03	06	60			
向	60_口_向	향	향할 향:			口	03	06	60	:		
園	60_囗_園	원	동산 원			囗	10	13	60			
在	60_土_在	재	있을 재:			土	03	06	60	:		
多	60_夕_多	다	많을 다			夕	03	06	60			
夜	60_夕_夜	야	밤 야:			夕	05	08	60	:		
太	60_大_太	태	클 태			大	01	04	60			
失	60_大_失	실	잃을 실			大	02	05	60			
孫	60_子_孫	손	손자 손(:)			子	07	10	60	(:)		
定	60_宀_定	정	정할 정:			宀	05	08	60	:		
席	60_巾_席	석	자리 석			巾	07	10	60			
度	60_广_度	도	법도 도(:) | 헤아릴 탁			广	06	09	60	(:)		
式	60_弋_式	식	법 식			弋	03	06	60			
強	60_弓_強	강	강할 강(:)			弓	08	11	60	(:)		
待	60_彳_待	대	기다릴 대:			彳	06	09	60	:		
愛	60_心_愛	애	사랑 애(:)			心	09	13	60	(:)		
感	60_心_感	감	느낄 감:			心	09	13	60	:		
族	60_方_族	족	겨레 족			方	07	11	60			
晝	60_日_晝	주	낮 주			日	07	11	60			
服	60_月_服	복	옷 복			月	04	08	60			
朝	60_月_朝	조	아침 조			月	08	12	60			
本	60_木_本	본	근본 본			木	01	05	60			
朴	60_木_朴	박	성(姓) 박			木	02	06	60			
李	60_木_李	리	오얏/성(姓) 리:			木	03	07	60	:		
根	60_木_根	근	뿌리 근			木	06	10	60			
樹	60_木_樹	수	나무 수			木	12	16	60			
死	60_歹_死	사	죽을 사:			歹	02	06	60	:		
永	60_水_永	영	길 영:			水	01	05	60	:		
油	60_水_油	유	기름 유			水	05	08	60			
洋	60_水_洋	양	큰바다 양			水	06	09	60			
溫	60_水_溫	온	따뜻할 온			水	10	13	60			
特	60_牛_特	특	특별할 특			牛	06	10	60			
由	60_田_由	유	말미암을 유			田	00	05	60			
番	60_田_番	번	차례 번			田	07	12	60			
畫	60_田_畫	화	그림 화: | 그을 획(劃)			田	07	12	60	(:)		
病	60_疒_病	병	병 병:			疒	05	10	60	:		
目	60_目_目	목	눈 목			目	00	05	60			
石	60_石_石	석	돌 석			石	00	05	60			
禮	60_示_禮	례	예도 례:			示	13	18	60	:		
章	60_立_章	장	글 장			立	06	11	60			
米	60_米_米	미	쌀 미			米	00	06	60			
級	60_糸_級	급	등급 급			糸	04	10	60			
綠	60_糸_綠	록	푸를 록			糸	08	14	60			
美	60_羊_美	미	아름다울 미(:)			羊	03	09	60	(:)		
習	60_羽_習	습	익힐 습			羽	05	11	60			
者	60_老_者	자	놈 자			老	05	09	60			
苦	60_艸_苦	고	쓸[味覺] 고			艸	05	09	60			
英	60_艸_英	영	꽃부리 영			艸	05	09	60			
號	60_虍_號	호	이름 호(:)			虍	07	13	60	(:)		
行	60_行_行	행	다닐 행(:) | 항렬 항			行	00	06	60	(:)		
衣	60_衣_衣	의	옷 의			衣	00	06	60			
親	60_見_親	친	친할 친			見	09	16	60			
言	60_言_言	언	말씀 언			言	00	07	60			
訓	60_言_訓	훈	가르칠 훈:			言	03	10	60	:		
路	60_足_路	로	길 로:			足	06	13	60	:		
近	60_辵_近	근	가까울 근:			辵	04	08	60	:		
通	60_辵_通	통	통할 통			辵	07	11	60			
速	60_辵_速	속	빠를 속			辵	07	11	60			
遠	60_辵_遠	원	멀 원:			辵	10	14	60	:		
